ra,dec,phot_g_mean_mag
193.5081784678,55.9597847789,1.7316069603
332.0590777947,-46.9616173413,1.7732802629
206.8843267438,49.3132018072,1.8810189962
95.7403735311,22.5130987160,1.8813682795
10.1272419793,56.5371887938,1.9425238371
69.1893185844,-62.0774905090,1.9587749243
252.5375901890,-34.2943717514,1.9910355806
243.5862106603,-3.6949677083,2.0164251328
14.1774509982,60.7167228047,2.0645833015
86.9391285250,-9.6696071375,2.0778262615
109.2855942328,-37.0974444853,2.0832374096
6.5721555015,-42.3078203257,2.0899775028
263.7341968643,12.5590098433,2.1082856655
46.2948746268,38.8398089688,2.1116290092
305.5571078767,40.2566736114,2.1137251854
274.4060904518,-36.7624293176,2.1164951324
221.2464861708,27.0743157578,2.1833524704
74.2484370262,33.1660147232,2.1975421906
311.5547590119,33.9717003124,2.2109651566
139.2723686432,-59.2751758205,2.2137858868
296.5649857105,10.6132527038,2.2236919403
190.3779930226,-48.9597836011,2.2270557880
2.2990654282,59.1489757641,2.2326910496
83.0016562493,-0.2990788926,2.2487726212
120.8958571376,-40.0030735094,2.2542943954
93.7190692388,22.5067536819,2.2620377541
233.6725437629,26.7142951747,2.2693703175
59.5076420220,-13.5090126109,2.2707934380
200.9823733653,54.9252590786,2.2826468945
275.2486822070,-29.8282238670,2.2969820499
226.0172005141,-25.2821590562,2.3034124374
155.5817610160,41.4996638604,2.3245100975
220.4821588728,-47.3882731176,2.3246517181
236.0675744298,6.4258326669,2.3253543377
283.8338840390,43.9464511327,2.3616831303
261.3248860596,-55.5299969171,2.3912818432
334.6247786251,-60.2597754266,2.3966629505
165.4609741721,56.3825774936,2.3985364437
193.8987779742,3.3972301950,2.4037773609
265.6219383828,-39.0300916263,2.4227042198
319.6463369435,62.5857960483,2.4282670021
178.4583667666,53.6947973263,2.4362754822
265.8679466182,4.5680122458,2.4423248768
188.5968175823,-23.3970122338,2.4482829571
111.0237381697,-29.3030829802,2.4504084587
325.8769443071,58.7800278344,2.4507260323
56.8105839502,-74.2384526928,2.4740035534
140.5283232165,-55.0106113536,2.4878859520
140.2625728405,34.3926328735,2.4886538982
245.9977069286,61.5144635116,2.4944150448
346.1905067874,15.2050829821,2.5036575794
182.0893932994,-50.7224810733,2.5082569122
254.6549130348,-55.9902993964,2.5107855797
161.6928645044,-49.4204769140,2.5133938789
276.9924434005,-25.4225230336,2.5435061455
142.8052259058,-57.0343504217,2.5465452671
247.5545293190,21.4895446607,2.5476379395
262.6080575941,52.3014433296,2.5482864380
83.1825848425,-17.8222822548,2.5535128117
241.3592690277,-19.8055505804,2.5550153255
249.2897975582,-10.5669760771,2.5565955639
208.6708628588,18.3961227350,2.5583581924
168.5277724541,20.5231370413,2.5716316700
207.3610958502,-34.4510405000,2.5794034004
49.8794219077,-21.7577199827,2.5895581245
102.4842665716,-50.6148478788,2.6184992790
195.5429147687,10.9592367415,2.6190509796
82.0613180480,-20.7598156628,2.6271760464
182.5308213696,-22.6197220110,2.6297013760
229.2512822927,-9.3830033286,2.6346583366
112.3072596207,-43.3005926071,2.6405158043
100.9830059707,25.1310748364,2.6483976841
46.1991443944,53.5064232379,2.6510000229
292.6803397470,27.9596241770,2.6516819000
84.9122637604,-34.0742124724,2.6532034874
76.3653839446,-22.3713676025,2.6534926891
167.4154777077,44.4983642996,2.6800301075
21.4566124573,60.2350676114,2.6805298328
6.4825049884,-77.2527954675,2.6807317734
224.6328043703,-43.1341361716,2.6952581406
189.2954048804,-69.1356236855,2.6997497082
258.7616572469,36.8091745480,2.7025177479
184.3900838255,-67.9608533041,2.7034263611
322.8898027829,-5.5712111078,2.7120852470
250.3191978983,31.6045838784,2.7169063091
222.7191482591,-16.0420810115,2.7223556042
247.1607937575,41.8816506879,2.7236697674
271.4517659307,-30.4249381579,2.7243106365
340.7506395031,30.2211303979,2.7250792980
331.4460640664,-0.3198974000,2.7278349400
160.7389810432,-64.3944058321,2.7347075939
162.4066310583,-16.1927597630,2.7356641293
83.8582632236,-5.9098960481,2.7408418655
121.8856299798,-24.3041155538,2.7505891323
22.0912612743,-43.3191541367,2.7603414059
105.4297547558,-27.9348086088,2.7605493069
250.3191579674,31.6045192402,2.7632272243
257.5946814508,-15.7244786106,2.7693226337
183.7860104400,-58.7489742823,2.7730123997
199.7307355657,-23.1717108928,2.7765340805
76.9620005510,-5.0868103041,2.7777147293
200.1473375345,-36.7126700046,2.7811801434
146.4625825868,23.7742057828,2.7839565277
238.7838064741,-63.4325114458,2.7843909264
248.9705888339,-28.2161180430,2.8028275967
287.4409679289,-21.0237787257,2.8030140400
87.7402661193,-35.7665113975,2.8041787148
29.6949393534,-61.5697386659,2.8074204922
288.1398619115,67.6619492120,2.8079168797
58.5330440466,31.8835946139,2.8219895363
326.7613924614,-16.1286071881,2.8368129730
296.8469741002,18.5343149854,2.8368227482
