name,ra,dec,vmag
Sirius A,101.2871553333,-16.7161158611,-1.4600
Canopus,95.9879578292,-52.6956613839,-0.7400
Canis Major Galaxy,108.1500000000,-27.6666666667,-0.1000
,219.9020833333,-60.8339722222,-0.1000
Arcturus,213.9153002949,19.1824091615,-0.0500
Rigel Kentaurus,219.9020583317,-60.8339926883,0.0100
Vega,279.2347347870,38.7836889562,0.0300
Capella,79.1723279443,45.9979914698,0.0800
Rigel,78.6344670669,-8.2016383647,0.1300
Procyon,114.8254979080,5.2249875571,0.3700
LMC,80.8941666667,-69.7561111111,0.4000
Betelgeuse,88.7929389908,7.4070639953,0.4200
Achernar,24.4285228333,-57.2367528056,0.4600
Agena,210.9558556228,-60.3730351615,0.5800
Altair,297.6958272964,8.8683211964,0.7600
Aldebaran,68.9801627900,16.5093023508,0.8600
Antares,247.3519154198,-26.4320026120,0.9100
Spica,201.2982473616,-11.1613194851,0.9700
,260.9240000000,30.4971000000,1.0700
Pollux,116.3289577744,28.0261988901,1.1400
Fomalhaut,344.4126927212,-29.6222370334,1.1600
Mimosa,191.9302865620,-59.6887719962,1.2500
Deneb,310.3579797531,45.2803388065,1.2500
,186.6495666667,-63.0990916667,1.2800
Toliman,219.8960962899,-60.8375275656,1.3300
Regulus,152.0929624383,11.9672087761,1.4000
Adhara,104.6564531515,-28.9720861574,1.5000
,186.6518416667,-63.0995222222,1.5800
Castor,113.6494716398,31.8882822165,1.5800
Shaula,263.4021671844,-37.1038235511,1.6300
Gacrux,187.7914983756,-57.1132134571,1.6400
Bellatrix,81.2827635565,6.3497032644,1.6400
Elnath,81.5729713318,28.6074517250,1.6500
Alnilam,84.0533889408,-1.2019191358,1.6900
Miaplacidus,138.2999060831,-69.7172075972,1.6900
Alnair,332.0582696961,-46.9609743819,1.7100
Alioth,193.5072899675,55.9598229569,1.7700
Alnitak,85.1896944279,-1.9425735860,1.7700
Mirfak,51.0807087183,49.8611792931,1.7900
Dubhe,165.9319646738,61.7510346878,1.7900
Kaus Australis,276.0429933506,-34.3846164859,1.8100
Regor,122.3831255598,-47.3365863293,1.8300
Wezen,107.0978502142,-26.3931995789,1.8400
Sargas,264.3297077208,-42.9978279933,1.8500
Alkaid,206.8851573421,49.3132667294,1.8600
Avior,125.6284802427,-59.5094841919,1.8600
,165.9319526333,61.7510333417,1.8700
Atria,252.1662295074,-69.0277118469,1.8800
Menkalinan,89.8821788683,44.9474325719,1.9000
,85.1896964292,-1.9425723222,1.9000
Castor A,113.6494284500,31.8882761917,1.9000
Peacock,306.4119043652,-56.7350897263,1.9180
Alhena,99.4279604294,16.3992804267,1.9200
Mirzam,95.6749389696,-17.9559187089,1.9700
Alphard,141.8968445959,-8.6585995317,1.9700
Diphda,10.8973787360,-17.9866063159,2.0100
Hamal,31.7933570996,23.4624175502,2.0100
,125.6284741000,-59.5094807000,2.0100
Lodestar,37.9545606702,89.2641089699,2.0200
Mirach,17.4330161729,35.6205576505,2.0500
Menkent,211.6706146823,-36.3699547425,2.0500
Alpheratz,2.0969161857,29.0904311181,2.0600
Saiph,86.9391201683,-9.6696049186,2.0600
Nunki,283.8163604065,-26.2967241148,2.0670
Rasalhague,263.7336227203,12.5600373917,2.0700
Kochab,222.6763574980,74.1555039368,2.0800
Almach,30.9748012065,42.3297284235,2.1000
,340.6668761256,-46.8845764448,2.1100
Algol,47.0422185562,40.9556466703,2.1200
Denebola,177.2649097559,14.5720580648,2.1300
,190.3793336708,-48.9598715150,2.1700
SMC,13.1583333333,-72.8002777778,2.2000
Suhail,136.9989911379,-43.4325909089,2.2100
Mizar A,200.9814261688,54.9253598833,2.2200
Sadr,305.5570909821,40.2566791564,2.2300
Eltanin,269.1515411786,51.4888956176,2.2300
Schedar,10.1268460077,56.5373292170,2.2300
,154.9931435917,19.8414886667,2.2300
Alphecca,233.6719520340,26.7146850000,2.2400
Naos,120.8960314098,-40.0031477983,2.2500
Aspidiske,139.2725285717,-59.2752320292,2.2600
Caph,2.2945215778,59.1497810980,2.2700
,220.4823157775,-47.3881987461,2.2860
,252.5408783863,-34.2932315931,2.2900
,204.9719072309,-53.4663911461,2.3000
,218.8767673375,-42.1578252172,2.3100
Dschubba,240.0833553457,-22.6217064260,2.3200
Merak,165.4603322980,56.3824336495,2.3700
Ankaa,6.5710475154,-42.3059871944,2.3800
,265.6219800004,-39.0299830764,2.3860
,14.1772128937,60.7167400247,2.3900
Enif,326.0464839142,9.8750086533,2.3900
Mintaka,83.0016670556,-0.2990951071,2.4100
Sabik,257.5945287106,-15.7249066417,2.4200
Scheat,345.9435727452,28.0827871246,2.4200
